Operator ID,Operator Business Name,Operator Status,Status Date,GAS_DISTRIBUTION,GAS_GATHERING,GAS_TRANSMISSION,HAZARDOUS_LIQUID,LIQUEFIED_NATURAL_GAS,UNGS,GRRHL,REPORTING_REGULATED_GG
1,"WHEELWRIGHT NATURAL GAS SYSTEM, CITY OF",INACTIVE,1997-09-18,,,,,,,,
3,ACADIAN GAS PIPELINE SYSTEM,ACTIVE,1995-04-21,,,GT,,,,,RRGG
5,50TH STREET HEIGHTS CO,INACTIVE,2007-08-17,,,,,,,,
9,ABC GAS CO,INACTIVE,2007-08-17,,,,,,,,
12,A K PIERCE,INACTIVE,2007-08-17,,,,,,,,
14,A V CO,INACTIVE,2007-08-17,,,,,,,,
18,"ABBYVILLE, CITY OF",ACTIVE,1995-05-24,GD,,,,,,,
19,"ABBEVILLE HOUSING AUTH, CITY OF",INACTIVE,2007-08-17,,,,,,,,
21,"ACACIA NATURAL GAS, L.L.C.",INACTIVE,2019-09-17,,,,,,,,
27,ABITA SPRINGS NAT GAS & WATER,ACTIVE,1995-06-06,GD,,,,,,,
28,ACACIA PIPELINE CORP,INACTIVE,2007-08-17,,,,,,,,
29,ACACIA VILLA MHP,INACTIVE,2012-06-13,,,,,,,,
30,ACE TRAILER PARK,INACTIVE,2012-06-13,,,,,,,,
31,SUN PIPE LINE COMPANY,INACTIVE,2006-07-10,,,,,,,,
33,ACME GAS CORP,INACTIVE,2007-08-17,,,,,,,,
35,ACCESS ENERGY CORP,INACTIVE,2007-08-17,,,,,,,,
36,ACME NATURAL GAS CO,INACTIVE,2007-08-17,,,,,,,,
40,ACORN PIPELINE CO,INACTIVE,2007-08-17,,,,,,,,
45,"ADAIRSVILLE, CITY OF",ACTIVE,1995-04-20,GD,,,,,,,
46,ADAMS COUNTRY GAS DIST # 2,INACTIVE,2007-08-17,,,,,,,,
49,TOWN OF ADAMSVILLE GAS DEPT,ACTIVE,1995-04-20,GD,,,,,,,
53,ADIRONDAK BOTTLE GAS CORP,INACTIVE,2007-08-17,,,,,,,,
54,"ADEL GAS DEPT, CITY OF",ACTIVE,1995-04-20,GD,,,,,,,
55,ADOBE CORRAL,INACTIVE,2007-08-17,,,,,,,,
56,HADSON GAS CO (EX.ADOBE GAS CO),INACTIVE,2007-08-17,,,,,,,,
57,ADOBE MHP,INACTIVE,2012-06-13,,,,,,,,
58,ADOBE MOBILE LODGE,INACTIVE,2012-06-13,,,,,,,,
59,COORS ENERGY CO,INACTIVE,2007-08-17,,,,,,,,
60,ADOBE WELLS MHP,INACTIVE,2012-06-13,,,,,,,,
61,ADOBE VILLAGE MOTEL,INACTIVE,2012-06-13,,,,,,,,
62,ADVANCE TRANSPORT INC,INACTIVE,2007-08-17,,,,,,,,
63,AERODYNE INC,INACTIVE,2007-08-17,,,,,,,,
72,AGENDA GAS SYSTEM,INACTIVE,2014-06-04,,,,,,,,
75,AGROPCO INC,INACTIVE,2007-08-17,,,,,,,,
81,"AGUILAR, TOWN OF",ACTIVE,1995-04-20,GD,,,,,,,
90,AHWANIE MHP,INACTIVE,2012-06-13,,,,,,,,
100,KIRKWOOD GAS AND ELECTRIC CO,INACTIVE,2007-08-17,,,,,,,,
101,TRISTAR GAS COMPANY,INACTIVE,2007-08-17,,,,,,,,
117,AIR PRODUCTS & CHEMICALS INC,ACTIVE,1995-04-20,,,GT,HL,,,,
118,ATP OIL & GAS CORPORATION,INACTIVE,2007-08-17,,,,,,,,
130,AIRFORCE PIPELINE INC,INACTIVE,2007-08-17,,,,,,,,
135,AIRPORT ROAD TRAILER COURT,INACTIVE,2012-06-13,,,,,,,,
144,AJAX PIPELINE CO,INACTIVE,2014-02-24,,,,,,,,
153,AJO IMPROVEMENT CO,INACTIVE,2007-08-17,,,,,,,,
162,AKER OIL & GAS CO,INACTIVE,2007-08-17,,,,,,,,
171,AKERS TRAILER PARK,INACTIVE,2012-06-13,,,,,,,,
179,ALABAMA GAS CORP (EX. MARENGO CORP PROPERTY),INACTIVE,1995-08-16,,,,,,,,
180,SPIRE ALABAMA INC.,ACTIVE,1995-05-24,GD,,GT,,LNG,,,
181,ALABAMA PUBLIC SERVICE COMM,INACTIVE,2007-08-17,,,,,,,,
185,ALABAMA METHANE PRODUCTION CO,INACTIVE,2007-08-17,,,,,,,,
189,"BBT ALATENN, LLC",ACTIVE,1995-04-20,,,GT,,,,,
190,ALAMO APTS,INACTIVE,2012-06-13,,,,,,,,
198,ALABASTER WATER & GAS BD,INACTIVE,2007-08-17,,,,,,,,
200,ALAMO PLAZA MOTEL,INACTIVE,2007-08-17,,,,,,,,
201,ALAMO APARTMENTS,INACTIVE,2012-06-13,,,,,,,,
203,ALAMOGORDO/WHITE SANDS KOA,INACTIVE,2007-08-17,,,,,,,,
207,"ALASKA PIPELINE COMPANY, LLC",ACTIVE,1995-05-03,GD,,GT,,,,,
216,ALASKA GAS & SERVICE CO,INACTIVE,2007-08-17,,,,,,,,
218,ALASKA STATE HOUSING AUTHORITY,INACTIVE,2007-08-17,,,,,,,,
225,ALBANY MUNICIPAL GAS CO,ACTIVE,1995-05-24,GD,,,,,,,
234,CITY OF ALBANY,ACTIVE,1987-06-04,GD,,,,,,,
243,"ALBERT GAS SYSTEM, CITY OF",INACTIVE,2007-08-17,,,,,,,,
246,ALBUQUERQUE MEADOWBROOK,INACTIVE,2007-08-17,,,,,,,,
247,ALBUQUERQUE HOUSING AUTHORITY,INACTIVE,2007-08-17,,,,,,,,
248,ALBUQUERQUE MEADOWS MHP,INACTIVE,2012-06-13,,,,,,,,
249,ALCORN PIPELINE CO,INACTIVE,2007-08-17,,,,,,,,
250,ALERT OIL & GAS CO INC,INACTIVE,2007-08-17,,,,,,,,
