SheetRow,ProjectID,action,before_BH,before_BI,after_BH,after_BI
246,P0460,MOVE,https://www.energy.gov.dz/?article=tsgp#,,,https://www.energy.gov.dz/?article=tsgp#
259,P0473,MOVE,"https://petro-mag.org/ar/Home/Index, https://www.hellenicshippingnews.com/egypt-signs-chevron-deal-to-fast-track-cyprus-aphrodite-gas-to-its-infrastructure/",,,"https://petro-mag.org/ar/Home/Index, https://www.hellenicshippingnews.com/egypt-signs-chevron-deal-to-fast-track-cyprus-aphrodite-gas-to-its-infrastructure/"
260,P0474,MOVE,https://egyptoil-gas.com/reports/the-western-desert-egypts-giant-petroleum-reservoir/,,,https://egyptoil-gas.com/reports/the-western-desert-egypts-giant-petroleum-reservoir/
268,P0484,MOVE,https://www.opec.org/opec_web/static_files_project/media/downloads/publications/ASB2017_13062017.pdf,,,https://www.opec.org/opec_web/static_files_project/media/downloads/publications/ASB2017_13062017.pdf
373,P0751,MOVE,https://iea.blob.core.windows.net/assets/0528affc-d2ba-49c9-ac25-17fc4e8724f7/AzerbaijanEnergyProfile_2023.pdf,,,https://iea.blob.core.windows.net/assets/0528affc-d2ba-49c9-ac25-17fc4e8724f7/AzerbaijanEnergyProfile_2023.pdf
988,P1855,MOVE,https://www.opec.org/opec_web/static_files_project/media/downloads/publications/ASB2017_13062017.pdf,,,https://www.opec.org/opec_web/static_files_project/media/downloads/publications/ASB2017_13062017.pdf
991,P1858,MOVE,https://www.opec.org/opec_web/static_files_project/media/downloads/publications/ASB2017_13062017.pdf,,,https://www.opec.org/opec_web/static_files_project/media/downloads/publications/ASB2017_13062017.pdf
1006,P1873,MOVE,https://www.opec.org/opec_web/static_files_project/media/downloads/publications/ASB2017_13062017.pdf,,,https://www.opec.org/opec_web/static_files_project/media/downloads/publications/ASB2017_13062017.pdf
1757,P3343,MOVE,"https://petro-news.com/26873/,  https://www.youm7.com/story/2024/1/14/%D9%85%D8%B4%D8%B1%D9%88%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D8%A3%D8%B3%D8%A7%D8%B3%D9%8A%D8%A9-%D9%84%D9%82%D8%B7%D8%A7%D8%B9-%D8%A7%D9%84%D8%A8%D8%AA%D8%B1%D9%88%D9%84-%D8%A3%D8%A8%D8%B1%D8%B2%D9%87%D8%A7-%D9%85%D8%B3%D8%AA%D9%88%D8%AF%D8%B9-%D8%A7%D9%84%D8%AA%D8%AE%D8%B2%D9%8A%D9%86-%D8%A8%D9%85%D9%8A%D9%86%D8%A7%D8%A1-%D8%A7%D9%84%D8%AD%D9%85%D8%B1%D8%A7%D8%A1/6445625",,,"https://petro-news.com/26873/,  https://www.youm7.com/story/2024/1/14/%D9%85%D8%B4%D8%B1%D9%88%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D8%A8%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D8%A3%D8%B3%D8%A7%D8%B3%D9%8A%D8%A9-%D9%84%D9%82%D8%B7%D8%A7%D8%B9-%D8%A7%D9%84%D8%A8%D8%AA%D8%B1%D9%88%D9%84-%D8%A3%D8%A8%D8%B1%D8%B2%D9%87%D8%A7-%D9%85%D8%B3%D8%AA%D9%88%D8%AF%D8%B9-%D8%A7%D9%84%D8%AA%D8%AE%D8%B2%D9%8A%D9%86-%D8%A8%D9%85%D9%8A%D9%86%D8%A7%D8%A1-%D8%A7%D9%84%D8%AD%D9%85%D8%B1%D8%A7%D8%A1/6445625"
1760,P3346,MOVE,https://www.algomhor.com/435745,,,https://www.algomhor.com/435745
