SheetRow,ProjectID,RouteNotes_after,RouteRef_after
4,P0061,,http://www.doubleepipeline.com/Content/Maps/DoubleE191106.pdf
5,P0143,,https://www.enterpriseproducts.com/operations/system-map/?zm=6.8689906632401705&cx=-10342587.99&cy=3630331.16&flt=NaturalGasPipelinesServicesDisplay
10,P0149,,https://www.enbridge.com/~/media/Enb/Documents/Factsheets/FS_EnergyInfrastructureAssets.pdf?la=en
14,P0153,,https://www.xclmidstream.com/operations/
18,P0157,,https://www.enbridge.com/~/media/Enb/Documents/Factsheets/FS_EnergyInfrastructureAssets.pdf?la=en
19,P0158,,https://www.tcenergy.com/siteassets/pdfs/natural-gas/bison/tc-bison-pipeline-map.pdf
20,P0159,,https://bridgeline.enlink.com/wp-content/uploads/2019/12/Bridgeline_InterconnectMap_021315.pdf
21,P0160,,"https://www.tcenergy.com/siteassets/pdfs/natural-gas/canadian-mainline/transcanada-canadian-mainline-map.pdf, https://www.cer-rec.gc.ca/en/data-analysis/facilities-we-regulate/pipeline-profiles/natural-gas/pipeline-profiles-transcanadas-canadian-mainline.html"
23,P0162,,https://nsletconnect.energytransfer.com/ipost/MRT
24,P0163,,"https://www.enablemidstream.com/company/operations/ts/#:~:text=Enable%20Oklahoma%20Intrastate%20Transmission%20(EOIT,third%2Dparty%20interconnects%20across%20Oklahoma., https://pipelines.energytransfer.com/ipost/EOIT"
25,P0164,,https://www.enbridge.com/~/media/Enb/Documents/Factsheets/FS_EnergyInfrastructureAssets.pdf?la=en
26,P0165,,http://hienergyebb.azurewebsites.net/CHANDELEUR/Home
29,P0168,,https://pipeportal.kindermorgan.com/portalui/DefaultKM.aspx?TSP=CIGD
33,P0172,,https://www.tcenergy.com/siteassets/pdfs/natural-gas/crossroads/tc-crossroads-pipeline-map.pdf
36,P0175,,"https://www.enbridge.com/~/media/Enb/Documents/Factsheets/FS_EnergyInfrastructureAssets.pdf?la=en, http://hienergyebb.azurewebsites.net/DESTIN/Home"
40,P0179,,https://www.enbridge.com/~/media/Enb/Documents/Factsheets/FS_EnergyInfrastructureAssets.pdf?la=en
42,P0182,,https://www.friendsofthenanticoke.org/eastern-shore-pipeline
45,P0186,,http://mvpurchasing.com/mvpipelines/pipelines/
48,P0189,,https://feptransfer.energytransfer.com/ipost/FEP
50,P0191,,https://www.tcenergy.com/siteassets/pdfs/natural-gas/foothills-system/transcanada-foothills-system-map.pdf
51,P0192,,https://www.enbridge.com/~/media/Enb/Documents/Factsheets/FS_EnergyInfrastructureAssets.pdf?la=en
53,P0194,,https://www.tcenergy.com/siteassets/pdfs/natural-gas/great-lakes-gas-transmission/tc-great-lakes-gas-transmission-map.pdf
